statistical_anomaly_score,isolation_forest_raw,isolation_forest_norm,autoencoder_raw,autoencoder_norm,temporal_score,cross_sensor_score,hybrid_score,evidence_strength,evidence_reasons
0.0091,-0.01682755375364242,0.5353005874153542,0.039362554,0.0968132,0.0,0.0,0.2099067771767547,LOW,[]
0.039,-0.0071691258110953004,0.6155818049034557,0.043605693,0.10936444,0.0,0.0,0.24325676273468377,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0084,-0.0018088292662906125,0.6601367920373864,0.0361322,0.08725781,0.0,0.0,0.24250994257971606,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0078,-0.007624943948969842,0.6117930273426141,0.032296337,0.0759113,0.0,0.0,0.22227355739988583,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0078,-0.006101540826914886,0.6244556115738419,0.039401148,0.09692737,0.0,0.0,0.23658036704754434,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0919,0.0035730548991113054,0.7048712162882605,0.031596355,0.07384075,0.0,0.0,0.257571741008476,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.2244,0.004377658043823396,0.7115591079862139,0.05553179,0.14464189,1.0,0.0,0.3582286779567963,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.1662,0.009737085961233793,0.7561068750564685,0.02891373,0.065905534,1.0,0.0,0.32640482938243237,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0104,-0.0017361031793339254,0.6607412940162548,0.030350927,0.07015677,0.0,0.0,0.234340772187058,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.2474,0.011389223900651557,0.7698395079470093,0.02486783,0.053937737,1.0,0.0,0.33266072083343307,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0523,0.009510186528486897,0.7542208784101574,0.043883044,0.11018484,0.0,0.0,0.2865886839520385,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0225,-0.0052734783760743364,0.6313384979094963,0.03754959,0.091450445,0.0,0.0,0.23737677204984128,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.1108,0.007126153694679838,0.7344047075417578,0.037334923,0.09081546,0.0,0.0,0.276809143348543,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0119,-0.0011586160089862574,0.6655413891658019,0.024563057,0.053036217,0.0,0.0,0.227370525072957,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
