station_id,latitude,longitude,original_time,timestamp,year,month,day,hour,day_of_year,temperature
CWPRS campus,18.446944,73.785,11-05-2024 08:15,2024-05-11 08:15:00,2024,5,11,8,132,30.7
CWPRS campus,18.446944,73.785,11-05-2024 08:20,2024-05-11 08:20:00,2024,5,11,8,132,30.9
CWPRS campus,18.446944,73.785,11-05-2024 08:25,2024-05-11 08:25:00,2024,5,11,8,132,30.8
CWPRS campus,18.446944,73.785,11-05-2024 08:30,2024-05-11 08:30:00,2024,5,11,8,132,30.9
CWPRS campus,18.446944,73.785,11-05-2024 08:35,2024-05-11 08:35:00,2024,5,11,8,132,31.1
CWPRS campus,18.446944,73.785,11-05-2024 08:40,2024-05-11 08:40:00,2024,5,11,8,132,31.1
CWPRS campus,18.446944,73.785,11-05-2024 08:45,2024-05-11 08:45:00,2024,5,11,8,132,31.3
CWPRS campus,18.446944,73.785,11-05-2024 08:50,2024-05-11 08:50:00,2024,5,11,8,132,31.6
CWPRS campus,18.446944,73.785,11-05-2024 08:55,2024-05-11 08:55:00,2024,5,11,8,132,32.0
CWPRS campus,18.446944,73.785,11-05-2024 09:00,2024-05-11 09:00:00,2024,5,11,9,132,32.2
CWPRS campus,18.446944,73.785,11-05-2024 09:05,2024-05-11 09:05:00,2024,5,11,9,132,32.4
CWPRS campus,18.446944,73.785,11-05-2024 09:10,2024-05-11 09:10:00,2024,5,11,9,132,32.6
CWPRS campus,18.446944,73.785,11-05-2024 09:15,2024-05-11 09:15:00,2024,5,11,9,132,32.4
CWPRS campus,18.446944,73.785,11-05-2024 09:20,2024-05-11 09:20:00,2024,5,11,9,132,32.6
CWPRS campus,18.446944,73.785,11-05-2024 09:25,2024-05-11 09:25:00,2024,5,11,9,132,32.8
CWPRS campus,18.446944,73.785,11-05-2024 09:30,2024-05-11 09:30:00,2024,5,11,9,132,33.3
CWPRS campus,18.446944,73.785,11-05-2024 09:35,2024-05-11 09:35:00,2024,5,11,9,132,33.5
CWPRS campus,18.446944,73.785,11-05-2024 09:40,2024-05-11 09:40:00,2024,5,11,9,132,33.7
CWPRS campus,18.446944,73.785,11-05-2024 09:45,2024-05-11 09:45:00,2024,5,11,9,132,33.8
CWPRS campus,18.446944,73.785,11-05-2024 09:50,2024-05-11 09:50:00,2024,5,11,9,132,33.8
CWPRS campus,18.446944,73.785,11-05-2024 09:55,2024-05-11 09:55:00,2024,5,11,9,132,34.1
CWPRS campus,18.446944,73.785,11-05-2024 10:00,2024-05-11 10:00:00,2024,5,11,10,132,34.4
CWPRS campus,18.446944,73.785,11-05-2024 10:05,2024-05-11 10:05:00,2024,5,11,10,132,34.6
CWPRS campus,18.446944,73.785,11-05-2024 10:10,2024-05-11 10:10:00,2024,5,11,10,132,34.6
CWPRS campus,18.446944,73.785,11-05-2024 10:15,2024-05-11 10:15:00,2024,5,11,10,132,35.0
CWPRS campus,18.446944,73.785,11-05-2024 10:20,2024-05-11 10:20:00,2024,5,11,10,132,34.9
CWPRS campus,18.446944,73.785,11-05-2024 10:25,2024-05-11 10:25:00,2024,5,11,10,132,35.1
CWPRS campus,18.446944,73.785,11-05-2024 10:30,2024-05-11 10:30:00,2024,5,11,10,132,35.6
CWPRS campus,18.446944,73.785,11-05-2024 10:35,2024-05-11 10:35:00,2024,5,11,10,132,35.5
CWPRS campus,18.446944,73.785,11-05-2024 10:40,2024-05-11 10:40:00,2024,5,11,10,132,35.6
CWPRS campus,18.446944,73.785,11-05-2024 10:45,2024-05-11 10:45:00,2024,5,11,10,132,35.7
CWPRS campus,18.446944,73.785,11-05-2024 10:50,2024-05-11 10:50:00,2024,5,11,10,132,35.7
CWPRS campus,18.446944,73.785,11-05-2024 10:55,2024-05-11 10:55:00,2024,5,11,10,132,35.6
CWPRS campus,18.446944,73.785,11-05-2024 11:00,2024-05-11 11:00:00,2024,5,11,11,132,35.8
CWPRS campus,18.446944,73.785,11-05-2024 11:05,2024-05-11 11:05:00,2024,5,11,11,132,35.8
CWPRS campus,18.446944,73.785,11-05-2024 11:10,2024-05-11 11:10:00,2024,5,11,11,132,36.0
CWPRS campus,18.446944,73.785,11-05-2024 11:15,2024-05-11 11:15:00,2024,5,11,11,132,36.0
CWPRS campus,18.446944,73.785,11-05-2024 11:20,2024-05-11 11:20:00,2024,5,11,11,132,36.3
CWPRS campus,18.446944,73.785,11-05-2024 11:25,2024-05-11 11:25:00,2024,5,11,11,132,36.3
CWPRS campus,18.446944,73.785,11-05-2024 11:30,2024-05-11 11:30:00,2024,5,11,11,132,36.4
CWPRS campus,18.446944,73.785,11-05-2024 11:35,2024-05-11 11:35:00,2024,5,11,11,132,36.6
CWPRS campus,18.446944,73.785,11-05-2024 11:40,2024-05-11 11:40:00,2024,5,11,11,132,36.6
CWPRS campus,18.446944,73.785,11-05-2024 11:45,2024-05-11 11:45:00,2024,5,11,11,132,36.7
CWPRS campus,18.446944,73.785,11-05-2024 11:50,2024-05-11 11:50:00,2024,5,11,11,132,37.0
CWPRS campus,18.446944,73.785,11-05-2024 11:55,2024-05-11 11:55:00,2024,5,11,11,132,36.9
CWPRS campus,18.446944,73.785,11-05-2024 12:00,2024-05-11 12:00:00,2024,5,11,12,132,37.0
CWPRS campus,18.446944,73.785,11-05-2024 12:05,2024-05-11 12:05:00,2024,5,11,12,132,37.2
CWPRS campus,18.446944,73.785,11-05-2024 12:10,2024-05-11 12:10:00,2024,5,11,12,132,37.4
CWPRS campus,18.446944,73.785,11-05-2024 12:15,2024-05-11 12:15:00,2024,5,11,12,132,37.3
CWPRS campus,18.446944,73.785,11-05-2024 12:20,2024-05-11 12:20:00,2024,5,11,12,132,37.2
CWPRS campus,18.446944,73.785,11-05-2024 12:25,2024-05-11 12:25:00,2024,5,11,12,132,37.4
CWPRS campus,18.446944,73.785,11-05-2024 12:30,2024-05-11 12:30:00,2024,5,11,12,132,37.5
CWPRS campus,18.446944,73.785,11-05-2024 12:35,2024-05-11 12:35:00,2024,5,11,12,132,37.7
CWPRS campus,18.446944,73.785,11-05-2024 12:40,2024-05-11 12:40:00,2024,5,11,12,132,37.8
CWPRS campus,18.446944,73.785,11-05-2024 12:45,2024-05-11 12:45:00,2024,5,11,12,132,37.8
CWPRS campus,18.446944,73.785,11-05-2024 12:50,2024-05-11 12:50:00,2024,5,11,12,132,37.9
CWPRS campus,18.446944,73.785,11-05-2024 12:55,2024-05-11 12:55:00,2024,5,11,12,132,38.0
CWPRS campus,18.446944,73.785,11-05-2024 13:00,2024-05-11 13:00:00,2024,5,11,13,132,38.0
CWPRS campus,18.446944,73.785,11-05-2024 13:05,2024-05-11 13:05:00,2024,5,11,13,132,38.3
CWPRS campus,18.446944,73.785,11-05-2024 13:10,2024-05-11 13:10:00,2024,5,11,13,132,38.5
CWPRS campus,18.446944,73.785,11-05-2024 13:15,2024-05-11 13:15:00,2024,5,11,13,132,38.3
CWPRS campus,18.446944,73.785,11-05-2024 13:20,2024-05-11 13:20:00,2024,5,11,13,132,38.5
CWPRS campus,18.446944,73.785,11-05-2024 13:25,2024-05-11 13:25:00,2024,5,11,13,132,38.4
CWPRS campus,18.446944,73.785,11-05-2024 13:30,2024-05-11 13:30:00,2024,5,11,13,132,38.6
CWPRS campus,18.446944,73.785,11-05-2024 13:35,2024-05-11 13:35:00,2024,5,11,13,132,38.8
CWPRS campus,18.446944,73.785,11-05-2024 13:40,2024-05-11 13:40:00,2024,5,11,13,132,38.7
CWPRS campus,18.446944,73.785,11-05-2024 13:45,2024-05-11 13:45:00,2024,5,11,13,132,38.9
CWPRS campus,18.446944,73.785,11-05-2024 13:50,2024-05-11 13:50:00,2024,5,11,13,132,38.9
CWPRS campus,18.446944,73.785,11-05-2024 13:55,2024-05-11 13:55:00,2024,5,11,13,132,39.1
CWPRS campus,18.446944,73.785,11-05-2024 14:00,2024-05-11 14:00:00,2024,5,11,14,132,39.4
CWPRS campus,18.446944,73.785,11-05-2024 14:05,2024-05-11 14:05:00,2024,5,11,14,132,39.3
CWPRS campus,18.446944,73.785,11-05-2024 14:10,2024-05-11 14:10:00,2024,5,11,14,132,39.2
CWPRS campus,18.446944,73.785,11-05-2024 14:15,2024-05-11 14:15:00,2024,5,11,14,132,39.1
CWPRS campus,18.446944,73.785,11-05-2024 14:20,2024-05-11 14:20:00,2024,5,11,14,132,38.9
CWPRS campus,18.446944,73.785,11-05-2024 14:25,2024-05-11 14:25:00,2024,5,11,14,132,38.9
CWPRS campus,18.446944,73.785,11-05-2024 14:30,2024-05-11 14:30:00,2024,5,11,14,132,39.0
CWPRS campus,18.446944,73.785,11-05-2024 14:35,2024-05-11 14:35:00,2024,5,11,14,132,39.0
CWPRS campus,18.446944,73.785,11-05-2024 14:40,2024-05-11 14:40:00,2024,5,11,14,132,39.1
CWPRS campus,18.446944,73.785,11-05-2024 14:45,2024-05-11 14:45:00,2024,5,11,14,132,39.1
CWPRS campus,18.446944,73.785,11-05-2024 14:50,2024-05-11 14:50:00,2024,5,11,14,132,39.3
CWPRS campus,18.446944,73.785,11-05-2024 14:55,2024-05-11 14:55:00,2024,5,11,14,132,39.2
CWPRS campus,18.446944,73.785,11-05-2024 15:00,2024-05-11 15:00:00,2024,5,11,15,132,39.6
CWPRS campus,18.446944,73.785,11-05-2024 15:05,2024-05-11 15:05:00,2024,5,11,15,132,39.6
CWPRS campus,18.446944,73.785,11-05-2024 15:10,2024-05-11 15:10:00,2024,5,11,15,132,39.5
CWPRS campus,18.446944,73.785,11-05-2024 15:15,2024-05-11 15:15:00,2024,5,11,15,132,39.2
CWPRS campus,18.446944,73.785,11-05-2024 15:20,2024-05-11 15:20:00,2024,5,11,15,132,39.3
CWPRS campus,18.446944,73.785,11-05-2024 15:25,2024-05-11 15:25:00,2024,5,11,15,132,39.2
CWPRS campus,18.446944,73.785,11-05-2024 15:30,2024-05-11 15:30:00,2024,5,11,15,132,39.2
CWPRS campus,18.446944,73.785,11-05-2024 15:35,2024-05-11 15:35:00,2024,5,11,15,132,39.2
CWPRS campus,18.446944,73.785,11-05-2024 15:40,2024-05-11 15:40:00,2024,5,11,15,132,39.1
CWPRS campus,18.446944,73.785,11-05-2024 15:45,2024-05-11 15:45:00,2024,5,11,15,132,38.9
CWPRS campus,18.446944,73.785,11-05-2024 15:50,2024-05-11 15:50:00,2024,5,11,15,132,38.6
CWPRS campus,18.446944,73.785,11-05-2024 15:55,2024-05-11 15:55:00,2024,5,11,15,132,38.5
CWPRS campus,18.446944,73.785,11-05-2024 16:00,2024-05-11 16:00:00,2024,5,11,16,132,38.6
CWPRS campus,18.446944,73.785,11-05-2024 16:05,2024-05-11 16:05:00,2024,5,11,16,132,38.5
CWPRS campus,18.446944,73.785,11-05-2024 16:10,2024-05-11 16:10:00,2024,5,11,16,132,38.3
CWPRS campus,18.446944,73.785,11-05-2024 16:15,2024-05-11 16:15:00,2024,5,11,16,132,38.2
CWPRS campus,18.446944,73.785,11-05-2024 16:20,2024-05-11 16:20:00,2024,5,11,16,132,38.2
CWPRS campus,18.446944,73.785,11-05-2024 16:25,2024-05-11 16:25:00,2024,5,11,16,132,38.0
CWPRS campus,18.446944,73.785,11-05-2024 16:30,2024-05-11 16:30:00,2024,5,11,16,132,38.0
CWPRS campus,18.446944,73.785,11-05-2024 16:35,2024-05-11 16:35:00,2024,5,11,16,132,37.9
CWPRS campus,18.446944,73.785,11-05-2024 16:40,2024-05-11 16:40:00,2024,5,11,16,132,37.7
CWPRS campus,18.446944,73.785,11-05-2024 16:45,2024-05-11 16:45:00,2024,5,11,16,132,37.6
CWPRS campus,18.446944,73.785,11-05-2024 16:50,2024-05-11 16:50:00,2024,5,11,16,132,37.7
CWPRS campus,18.446944,73.785,11-05-2024 16:55,2024-05-11 16:55:00,2024,5,11,16,132,37.7
CWPRS campus,18.446944,73.785,11-05-2024 17:00,2024-05-11 17:00:00,2024,5,11,17,132,37.8
CWPRS campus,18.446944,73.785,11-05-2024 17:05,2024-05-11 17:05:00,2024,5,11,17,132,37.5
CWPRS campus,18.446944,73.785,11-05-2024 17:10,2024-05-11 17:10:00,2024,5,11,17,132,37.2
CWPRS campus,18.446944,73.785,11-05-2024 17:15,2024-05-11 17:15:00,2024,5,11,17,132,37.2
CWPRS campus,18.446944,73.785,11-05-2024 17:20,2024-05-11 17:20:00,2024,5,11,17,132,37.2
CWPRS campus,18.446944,73.785,11-05-2024 17:25,2024-05-11 17:25:00,2024,5,11,17,132,37.2
CWPRS campus,18.446944,73.785,11-05-2024 17:30,2024-05-11 17:30:00,2024,5,11,17,132,37.6
CWPRS campus,18.446944,73.785,11-05-2024 17:35,2024-05-11 17:35:00,2024,5,11,17,132,37.6
CWPRS campus,18.446944,73.785,11-05-2024 17:40,2024-05-11 17:40:00,2024,5,11,17,132,37.6
CWPRS campus,18.446944,73.785,11-05-2024 17:45,2024-05-11 17:45:00,2024,5,11,17,132,37.6
CWPRS campus,18.446944,73.785,11-05-2024 17:50,2024-05-11 17:50:00,2024,5,11,17,132,37.5
CWPRS campus,18.446944,73.785,11-05-2024 17:55,2024-05-11 17:55:00,2024,5,11,17,132,37.3
CWPRS campus,18.446944,73.785,11-05-2024 18:00,2024-05-11 18:00:00,2024,5,11,18,132,37.3
CWPRS campus,18.446944,73.785,11-05-2024 18:05,2024-05-11 18:05:00,2024,5,11,18,132,37.0
CWPRS campus,18.446944,73.785,11-05-2024 18:10,2024-05-11 18:10:00,2024,5,11,18,132,36.8
CWPRS campus,18.446944,73.785,11-05-2024 18:15,2024-05-11 18:15:00,2024,5,11,18,132,36.5
CWPRS campus,18.446944,73.785,11-05-2024 18:20,2024-05-11 18:20:00,2024,5,11,18,132,36.4
CWPRS campus,18.446944,73.785,11-05-2024 18:25,2024-05-11 18:25:00,2024,5,11,18,132,36.6
CWPRS campus,18.446944,73.785,11-05-2024 18:30,2024-05-11 18:30:00,2024,5,11,18,132,36.1
CWPRS campus,18.446944,73.785,11-05-2024 18:35,2024-05-11 18:35:00,2024,5,11,18,132,36.0
CWPRS campus,18.446944,73.785,11-05-2024 18:40,2024-05-11 18:40:00,2024,5,11,18,132,35.6
CWPRS campus,18.446944,73.785,11-05-2024 18:45,2024-05-11 18:45:00,2024,5,11,18,132,35.4
CWPRS campus,18.446944,73.785,11-05-2024 18:50,2024-05-11 18:50:00,2024,5,11,18,132,35.4
CWPRS campus,18.446944,73.785,11-05-2024 18:55,2024-05-11 18:55:00,2024,5,11,18,132,35.3
CWPRS campus,18.446944,73.785,11-05-2024 19:00,2024-05-11 19:00:00,2024,5,11,19,132,34.9
CWPRS campus,18.446944,73.785,11-05-2024 19:05,2024-05-11 19:05:00,2024,5,11,19,132,34.7
CWPRS campus,18.446944,73.785,11-05-2024 19:10,2024-05-11 19:10:00,2024,5,11,19,132,34.6
CWPRS campus,18.446944,73.785,11-05-2024 19:15,2024-05-11 19:15:00,2024,5,11,19,132,34.4
CWPRS campus,18.446944,73.785,11-05-2024 19:20,2024-05-11 19:20:00,2024,5,11,19,132,34.3
CWPRS campus,18.446944,73.785,11-05-2024 19:25,2024-05-11 19:25:00,2024,5,11,19,132,34.1
CWPRS campus,18.446944,73.785,11-05-2024 19:30,2024-05-11 19:30:00,2024,5,11,19,132,33.9
CWPRS campus,18.446944,73.785,11-05-2024 19:35,2024-05-11 19:35:00,2024,5,11,19,132,34.0
CWPRS campus,18.446944,73.785,11-05-2024 19:40,2024-05-11 19:40:00,2024,5,11,19,132,34.0
CWPRS campus,18.446944,73.785,11-05-2024 19:45,2024-05-11 19:45:00,2024,5,11,19,132,33.5
CWPRS campus,18.446944,73.785,11-05-2024 19:50,2024-05-11 19:50:00,2024,5,11,19,132,33.4
CWPRS campus,18.446944,73.785,11-05-2024 19:55,2024-05-11 19:55:00,2024,5,11,19,132,33.1
CWPRS campus,18.446944,73.785,11-05-2024 20:00,2024-05-11 20:00:00,2024,5,11,20,132,33.1
